gen_title,search_url,label(H/G)
"Introduction to Autonomous Robots: Mechanisms, Sensors, Actuators, and Algorithms","https://www.google.com/search?q=%22Introduction+to+Autonomous+Robots:+Mechanisms,+Sensors,+Actuators,+and+Algorithms%22&tbs=cdr:1,cd_max:09/30/2021",G
Adaptive Design Techniques for Cross-Device Computing: A Guide to Responsive and Fluid UIs,"https://www.google.com/search?q=%22Adaptive+Design+Techniques+for+Cross-Device+Computing:+A+Guide+to+Responsive+and+Fluid+UIs%22&tbs=cdr:1,cd_max:09/30/2021",H
Analog MOS Integrated Circuits for Signal Processing,"https://www.google.com/search?q=%22Analog+MOS+Integrated+Circuits+for+Signal+Processing%22&tbs=cdr:1,cd_max:09/30/2021",G
Investigating the Determinants of E-commerce Adoption among Small and Medium Enterprises,"https://www.google.com/search?q=%22Investigating+the+Determinants+of+E-commerce+Adoption+among+Small+and+Medium+Enterprises%22&tbs=cdr:1,cd_max:09/30/2021",H
Timing Aware Placement and Routing in FPGAs,"https://www.google.com/search?q=%22Timing+Aware+Placement+and+Routing+in+FPGAs%22&tbs=cdr:1,cd_max:09/30/2021",H
The Software Engineering Process: Principles and Practice,"https://www.google.com/search?q=%22The+Software+Engineering+Process:+Principles+and+Practice%22&tbs=cdr:1,cd_max:09/30/2021",G
Physical Verification Tools for Hardware Security Validation: A Review,"https://www.google.com/search?q=%22Physical+Verification+Tools+for+Hardware+Security+Validation:+A+Review%22&tbs=cdr:1,cd_max:09/30/2021",H
Questionnaire Design: A Comprehensive Guide for the Survey Researcher,"https://www.google.com/search?q=%22Questionnaire+Design:+A+Comprehensive+Guide+for+the+Survey+Researcher%22&tbs=cdr:1,cd_max:09/30/2021",H
Cryptography and Network Security: Principles and Practice,"https://www.google.com/search?q=%22Cryptography+and+Network+Security:+Principles+and+Practice%22&tbs=cdr:1,cd_max:09/30/2021",G
Programming Languages for Real-Time Systems,"https://www.google.com/search?q=%22Programming+Languages+for+Real-Time+Systems%22&tbs=cdr:1,cd_max:09/30/2021",G
A Secure and Privacy-Preserving Protocol for Outsourcing Large-Scale Matrix Multiplications in Cloud Computing,"https://www.google.com/search?q=%22A+Secure+and+Privacy-Preserving+Protocol+for+Outsourcing+Large-Scale+Matrix+Multiplications+in+Cloud+Computing%22&tbs=cdr:1,cd_max:09/30/2021",H
"The Psychology of Law: Human Behavior, Legal Institutions, and Law","https://www.google.com/search?q=%22The+Psychology+of+Law:+Human+Behavior,+Legal+Institutions,+and+Law%22&tbs=cdr:1,cd_max:09/30/2021",G
A Unifying Theory of Trust and Security in Distributed Systems,"https://www.google.com/search?q=%22A+Unifying+Theory+of+Trust+and+Security+in+Distributed+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
A Practical Guide to Parallel Algorithms and Computing,"https://www.google.com/search?q=%22A+Practical+Guide+to+Parallel+Algorithms+and+Computing%22&tbs=cdr:1,cd_max:09/30/2021",H
Challenges and Solutions in Application-Specific VLSI System Design,"https://www.google.com/search?q=%22Challenges+and+Solutions+in+Application-Specific+VLSI+System+Design%22&tbs=cdr:1,cd_max:09/30/2021",H
Emerging Interfaces: Human-Computer Interaction and the Internet of Things,"https://www.google.com/search?q=%22Emerging+Interfaces:+Human-Computer+Interaction+and+the+Internet+of+Things%22&tbs=cdr:1,cd_max:09/30/2021",H
Computer Forensics: Incident Response Essentials,"https://www.google.com/search?q=%22Computer+Forensics:+Incident+Response+Essentials%22&tbs=cdr:1,cd_max:09/30/2021",G
Design of Integrated Circuits for Digital Switching Systems,"https://www.google.com/search?q=%22Design+of+Integrated+Circuits+for+Digital+Switching+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Algebraic Topology: A First Course,"https://www.google.com/search?q=%22Algebraic+Topology:+A+First+Course%22&tbs=cdr:1,cd_max:09/30/2021",G
Malware Mitigation for Industrial Control Systems,"https://www.google.com/search?q=%22Malware+Mitigation+for+Industrial+Control+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Forecasting: Methods and Applications,"https://www.google.com/search?q=%22Forecasting:+Methods+and+Applications%22&tbs=cdr:1,cd_max:09/30/2021",G
Derandomization in Computational Complexity,"https://www.google.com/search?q=%22Derandomization+in+Computational+Complexity%22&tbs=cdr:1,cd_max:09/30/2021",H
Building Secure Software: How to Avoid Security Problems the Right Way,"https://www.google.com/search?q=%22Building+Secure+Software:+How+to+Avoid+Security+Problems+the+Right+Way%22&tbs=cdr:1,cd_max:09/30/2021",G
Software Security: Building Security In,"https://www.google.com/search?q=%22Software+Security:+Building+Security+In%22&tbs=cdr:1,cd_max:09/30/2021",G
Optimization of Redundancy for Reliable and Time-Predictable Distributed Embedded Systems,"https://www.google.com/search?q=%22Optimization+of+Redundancy+for+Reliable+and+Time-Predictable+Distributed+Embedded+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Advanced Optical and Wireless Communications Systems: Technologies and Applications,"https://www.google.com/search?q=%22Advanced+Optical+and+Wireless+Communications+Systems:+Technologies+and+Applications%22&tbs=cdr:1,cd_max:09/30/2021",H
Fundamentals of Aerodynamics,"https://www.google.com/search?q=%22Fundamentals+of+Aerodynamics%22&tbs=cdr:1,cd_max:09/30/2021",G
The Turn: Integration of Information Seeking and Retrieval in Context,"https://www.google.com/search?q=%22The+Turn:+Integration+of+Information+Seeking+and+Retrieval+in+Context%22&tbs=cdr:1,cd_max:09/30/2021",G
Understanding Media: The Extensions of Man,"https://www.google.com/search?q=%22Understanding+Media:+The+Extensions+of+Man%22&tbs=cdr:1,cd_max:09/30/2021",G
Computer Forensics and Cyber Crime: An Introduction,"https://www.google.com/search?q=%22Computer+Forensics+and+Cyber+Crime:+An+Introduction%22&tbs=cdr:1,cd_max:09/30/2021",G
"Elements of Statistical Learning: Data Mining, Inference, and Prediction","https://www.google.com/search?q=%22Elements+of+Statistical+Learning:+Data+Mining,+Inference,+and+Prediction%22&tbs=cdr:1,cd_max:09/30/2021",G
Mobile Information Systems: Infrastructure and Design for Adaptivity and Flexibility,"https://www.google.com/search?q=%22Mobile+Information+Systems:+Infrastructure+and+Design+for+Adaptivity+and+Flexibility%22&tbs=cdr:1,cd_max:09/30/2021",G
Elements of Modal and Temporal Logic,"https://www.google.com/search?q=%22Elements+of+Modal+and+Temporal+Logic%22&tbs=cdr:1,cd_max:09/30/2021",H
Designing and Managing the Digital Firm,"https://www.google.com/search?q=%22Designing+and+Managing+the+Digital+Firm%22&tbs=cdr:1,cd_max:09/30/2021",H
Automatic Synthesis of Digital Electronic Circuits,"https://www.google.com/search?q=%22Automatic+Synthesis+of+Digital+Electronic+Circuits%22&tbs=cdr:1,cd_max:09/30/2021",H
Energy Efficient Thermal Management of Data Centers,"https://www.google.com/search?q=%22Energy+Efficient+Thermal+Management+of+Data+Centers%22&tbs=cdr:1,cd_max:09/30/2021",G
Clean Code: A Handbook of Agile Software Craftsmanship,"https://www.google.com/search?q=%22Clean+Code:+A+Handbook+of+Agile+Software+Craftsmanship%22&tbs=cdr:1,cd_max:09/30/2021",G
Formal Languages and Their Relation to Automata,"https://www.google.com/search?q=%22Formal+Languages+and+Their+Relation+to+Automata%22&tbs=cdr:1,cd_max:09/30/2021",G
The Contribution of Geophysical Techniques to Archaeology: An Overview,"https://www.google.com/search?q=%22The+Contribution+of+Geophysical+Techniques+to+Archaeology:+An+Overview%22&tbs=cdr:1,cd_max:09/30/2021",H
A First Course in Probability,"https://www.google.com/search?q=%22A+First+Course+in+Probability%22&tbs=cdr:1,cd_max:09/30/2021",G
A Typology of Surveys: Observational Studies versus Experiments,"https://www.google.com/search?q=%22A+Typology+of+Surveys:+Observational+Studies+versus+Experiments%22&tbs=cdr:1,cd_max:09/30/2021",H
VLSI Standard Cells Libraries for Digital Design Applications,"https://www.google.com/search?q=%22VLSI+Standard+Cells+Libraries+for+Digital+Design+Applications%22&tbs=cdr:1,cd_max:09/30/2021",H
Designing Firewalls for Network Security,"https://www.google.com/search?q=%22Designing+Firewalls+for+Network+Security%22&tbs=cdr:1,cd_max:09/30/2021",H
The Essence of Continuity: Exploring Continuous Functions,"https://www.google.com/search?q=%22The+Essence+of+Continuity:+Exploring+Continuous+Functions%22&tbs=cdr:1,cd_max:09/30/2021",H
Dense Storage Technologies: Next-Generation Solutions for Memory and Data Storage,"https://www.google.com/search?q=%22Dense+Storage+Technologies:+Next-Generation+Solutions+for+Memory+and+Data+Storage%22&tbs=cdr:1,cd_max:09/30/2021",H
Formal Specification and Verification of Trust Frameworks for Security Policies,"https://www.google.com/search?q=%22Formal+Specification+and+Verification+of+Trust+Frameworks+for+Security+Policies%22&tbs=cdr:1,cd_max:09/30/2021",H
"Nudge: Improving Decisions About Health, Wealth, and Happiness","https://www.google.com/search?q=%22Nudge:+Improving+Decisions+About+Health,+Wealth,+and+Happiness%22&tbs=cdr:1,cd_max:09/30/2021",G
Evaluation and Comparison of Open Source Software Libraries for Recommender Systems,"https://www.google.com/search?q=%22Evaluation+and+Comparison+of+Open+Source+Software+Libraries+for+Recommender+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Optimization Methods in Computer-Aided Design and Manufacturing,"https://www.google.com/search?q=%22Optimization+Methods+in+Computer-Aided+Design+and+Manufacturing%22&tbs=cdr:1,cd_max:09/30/2021",H
Natural Language Processing for Information Retrieval: Techniques for Document Searching and Classification,"https://www.google.com/search?q=%22Natural+Language+Processing+for+Information+Retrieval:+Techniques+for+Document+Searching+and+Classification%22&tbs=cdr:1,cd_max:09/30/2021",H
Conceptual Structures: Information Processing in Mind and Machine,"https://www.google.com/search?q=%22Conceptual+Structures:+Information+Processing+in+Mind+and+Machine%22&tbs=cdr:1,cd_max:09/30/2021",G
Design of Analog CMOS Integrated Circuits,"https://www.google.com/search?q=%22Design+of+Analog+CMOS+Integrated+Circuits%22&tbs=cdr:1,cd_max:09/30/2021",G
Secure Coding: Principles & Practices,"https://www.google.com/search?q=%22Secure+Coding:+Principles+&+Practices%22&tbs=cdr:1,cd_max:09/30/2021",G
A Structural Approach to Operational Semantics,"https://www.google.com/search?q=%22A+Structural+Approach+to+Operational+Semantics%22&tbs=cdr:1,cd_max:09/30/2021",G
Energy-Efficient Networking Protocols and Hardware for Wireless Integrated Network Sensors,"https://www.google.com/search?q=%22Energy-Efficient+Networking+Protocols+and+Hardware+for+Wireless+Integrated+Network+Sensors%22&tbs=cdr:1,cd_max:09/30/2021",H
Designing Enterprise Vocabularies for Organizational Knowledge Management,"https://www.google.com/search?q=%22Designing+Enterprise+Vocabularies+for+Organizational+Knowledge+Management%22&tbs=cdr:1,cd_max:09/30/2021",H
"Understanding IPv6: Addressing, Routing, and Internetworking","https://www.google.com/search?q=%22Understanding+IPv6:+Addressing,+Routing,+and+Internetworking%22&tbs=cdr:1,cd_max:09/30/2021",H
DNS and BIND: Help for System Administrators,"https://www.google.com/search?q=%22DNS+and+BIND:+Help+for+System+Administrators%22&tbs=cdr:1,cd_max:09/30/2021",G
"Designing Embedded Systems with the SIGNAL Programming Language: Synchronous, Reactive Specification","https://www.google.com/search?q=%22Designing+Embedded+Systems+with+the+SIGNAL+Programming+Language:+Synchronous,+Reactive+Specification%22&tbs=cdr:1,cd_max:09/30/2021",G
Operations Research for Robotic Systems: Applications in Computer Integrated Manufacturing,"https://www.google.com/search?q=%22Operations+Research+for+Robotic+Systems:+Applications+in+Computer+Integrated+Manufacturing%22&tbs=cdr:1,cd_max:09/30/2021",H
Query Expansion and Relevance Feedback Models in Information Retrieval,"https://www.google.com/search?q=%22Query+Expansion+and+Relevance+Feedback+Models+in+Information+Retrieval%22&tbs=cdr:1,cd_max:09/30/2021",H
Taming Cyber-Physical Systems: from Theory to Practice,"https://www.google.com/search?q=%22Taming+Cyber-Physical+Systems:+from+Theory+to+Practice%22&tbs=cdr:1,cd_max:09/30/2021",H
An Exploratory Study on Library Usage in Software Development,"https://www.google.com/search?q=%22An+Exploratory+Study+on+Library+Usage+in+Software+Development%22&tbs=cdr:1,cd_max:09/30/2021",H
Ubiquitous Computing Fundamentals,"https://www.google.com/search?q=%22Ubiquitous+Computing+Fundamentals%22&tbs=cdr:1,cd_max:09/30/2021",G
Multimedia Learning,"https://www.google.com/search?q=%22Multimedia+Learning%22&tbs=cdr:1,cd_max:09/30/2021",G
Open Source Software Development: A Collaborative and Social Process,"https://www.google.com/search?q=%22Open+Source+Software+Development:+A+Collaborative+and+Social+Process%22&tbs=cdr:1,cd_max:09/30/2021",H
Network Security Essentials: Applications and Standards,"https://www.google.com/search?q=%22Network+Security+Essentials:+Applications+and+Standards%22&tbs=cdr:1,cd_max:09/30/2021",G
High-Performance Browser Networking,"https://www.google.com/search?q=%22High-Performance+Browser+Networking%22&tbs=cdr:1,cd_max:09/30/2021",G
Advances in Non-Volatile Memory and Storage Technology,"https://www.google.com/search?q=%22Advances+in+Non-Volatile+Memory+and+Storage+Technology%22&tbs=cdr:1,cd_max:09/30/2021",G
VLSI Design Techniques for Analog and Digital Circuits in Application-Specific Designs,"https://www.google.com/search?q=%22VLSI+Design+Techniques+for+Analog+and+Digital+Circuits+in+Application-Specific+Designs%22&tbs=cdr:1,cd_max:09/30/2021",H
Microscale and Nanoscale Heat Transfer: Fundamentals and Engineering Applications,"https://www.google.com/search?q=%22Microscale+and+Nanoscale+Heat+Transfer:+Fundamentals+and+Engineering+Applications%22&tbs=cdr:1,cd_max:09/30/2021",G
Digital Logic Circuit Analysis and Design,"https://www.google.com/search?q=%22Digital+Logic+Circuit+Analysis+and+Design%22&tbs=cdr:1,cd_max:09/30/2021",G
Electronic Design Automation for Integrated Circuits Handbook,"https://www.google.com/search?q=%22Electronic+Design+Automation+for+Integrated+Circuits+Handbook%22&tbs=cdr:1,cd_max:09/30/2021",G
Using Computer-Managed Instructional Systems in Schools: A Practical Guide,"https://www.google.com/search?q=%22Using+Computer-Managed+Instructional+Systems+in+Schools:+A+Practical+Guide%22&tbs=cdr:1,cd_max:09/30/2021",H
Detecting and Preventing Social Engineering Network Intrusions,"https://www.google.com/search?q=%22Detecting+and+Preventing+Social+Engineering+Network+Intrusions%22&tbs=cdr:1,cd_max:09/30/2021",H
E-Learning and the Science of Instruction: Proven Guidelines for Consumers and Designers of Multimedia Learning,"https://www.google.com/search?q=%22E-Learning+and+the+Science+of+Instruction:+Proven+Guidelines+for+Consumers+and+Designers+of+Multimedia+Learning%22&tbs=cdr:1,cd_max:09/30/2021",G
"Exploring Network Components: Switches, Hubs and Logical Nodes","https://www.google.com/search?q=%22Exploring+Network+Components:+Switches,+Hubs+and+Logical+Nodes%22&tbs=cdr:1,cd_max:09/30/2021",H
A Mathematical Theory of Communication,"https://www.google.com/search?q=%22A+Mathematical+Theory+of+Communication%22&tbs=cdr:1,cd_max:09/30/2021",G
Designing Interactive Systems for Collaborative and Social Computing: Principles and Practices,"https://www.google.com/search?q=%22Designing+Interactive+Systems+for+Collaborative+and+Social+Computing:+Principles+and+Practices%22&tbs=cdr:1,cd_max:09/30/2021",H
Evaluating the Accessibility of Online Resources: A User-Centered Approach,"https://www.google.com/search?q=%22Evaluating+the+Accessibility+of+Online+Resources:+A+User-Centered+Approach%22&tbs=cdr:1,cd_max:09/30/2021",H
The Art of Software Security Assessment: Identifying and Preventing Software Vulnerabilities,"https://www.google.com/search?q=%22The+Art+of+Software+Security+Assessment:+Identifying+and+Preventing+Software+Vulnerabilities%22&tbs=cdr:1,cd_max:09/30/2021",G
"Design Reuse in Product Development Modeling, Analysis and Optimization","https://www.google.com/search?q=%22Design+Reuse+in+Product+Development+Modeling,+Analysis+and+Optimization%22&tbs=cdr:1,cd_max:09/30/2021",G
Nodes and Network Components in Communication Systems,"https://www.google.com/search?q=%22Nodes+and+Network+Components+in+Communication+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Structural Bioinformatics: An Algorithmic Approach,"https://www.google.com/search?q=%22Structural+Bioinformatics:+An+Algorithmic+Approach%22&tbs=cdr:1,cd_max:09/30/2021",G
Forensic Discovery,"https://www.google.com/search?q=%22Forensic+Discovery%22&tbs=cdr:1,cd_max:09/30/2021",G
Self-Organizing Communication in Ad Hoc Networking,"https://www.google.com/search?q=%22Self-Organizing+Communication+in+Ad+Hoc+Networking%22&tbs=cdr:1,cd_max:09/30/2021",H
Parallel Algorithms for Matrix Computations,"https://www.google.com/search?q=%22Parallel+Algorithms+for+Matrix+Computations%22&tbs=cdr:1,cd_max:09/30/2021",G
OAuth 2.0: A Framework for Secure and Scalable Authorization,"https://www.google.com/search?q=%22OAuth+2.0:+A+Framework+for+Secure+and+Scalable+Authorization%22&tbs=cdr:1,cd_max:09/30/2021",H
Privacy-Preserving Attribute-Based Access Control in Cloud Computing,"https://www.google.com/search?q=%22Privacy-Preserving+Attribute-Based+Access+Control+in+Cloud+Computing%22&tbs=cdr:1,cd_max:09/30/2021",H
Self-Stabilization in Networked Control Systems,"https://www.google.com/search?q=%22Self-Stabilization+in+Networked+Control+Systems%22&tbs=cdr:1,cd_max:09/30/2021",H
Digital Trade Rules and Big Tech: The WTO's role in regulating online power,"https://www.google.com/search?q=%22Digital+Trade+Rules+and+Big+Tech:+The+WTO's+role+in+regulating+online+power%22&tbs=cdr:1,cd_max:09/30/2021",H
Wireless Network Infrastructure: A Comprehensive Study of Components and Applications,"https://www.google.com/search?q=%22Wireless+Network+Infrastructure:+A+Comprehensive+Study+of+Components+and+Applications%22&tbs=cdr:1,cd_max:09/30/2021",H
Experimental Evaluation of Cross-Platform Mobile Development Tools,"https://www.google.com/search?q=%22Experimental+Evaluation+of+Cross-Platform+Mobile+Development+Tools%22&tbs=cdr:1,cd_max:09/30/2021",H
A Comparative Analysis of Enterprise Computing Reference Models,"https://www.google.com/search?q=%22A+Comparative+Analysis+of+Enterprise+Computing+Reference+Models%22&tbs=cdr:1,cd_max:09/30/2021",H
Network Security Through Firewalls: Concepts and Configuration,"https://www.google.com/search?q=%22Network+Security+Through+Firewalls:+Concepts+and+Configuration%22&tbs=cdr:1,cd_max:09/30/2021",H
The Web Application Hacker's Handbook: Discovering and Exploiting Security Flaws,"https://www.google.com/search?q=%22The+Web+Application+Hacker's+Handbook:+Discovering+and+Exploiting+Security+Flaws%22&tbs=cdr:1,cd_max:09/30/2021",G
Learning to Rank for Information Retrieval: A Practical Overview,"https://www.google.com/search?q=%22Learning+to+Rank+for+Information+Retrieval:+A+Practical+Overview%22&tbs=cdr:1,cd_max:09/30/2021",H
3D Modeling and Shape Analysis: The Mathematics of Surfaces,"https://www.google.com/search?q=%223D+Modeling+and+Shape+Analysis:+The+Mathematics+of+Surfaces%22&tbs=cdr:1,cd_max:09/30/2021",H
"Handbook of Formal Languages, Volume 1: Word, Language, Grammar","https://www.google.com/search?q=%22Handbook+of+Formal+Languages,+Volume+1:+Word,+Language,+Grammar%22&tbs=cdr:1,cd_max:09/30/2021",G
Energy-Efficient Cyber-Physical Systems: Challenges and Opportunities in Sensor Networks and IoT,"https://www.google.com/search?q=%22Energy-Efficient+Cyber-Physical+Systems:+Challenges+and+Opportunities+in+Sensor+Networks+and+IoT%22&tbs=cdr:1,cd_max:09/30/2021",H
